NODOS:
0, 1, 0, 400, 300
1, 0, 0, 350, 250
2, 0, 0, 450, 250
3, 0, 0, 450, 350
4, 0, 0, 350, 350
5, 2, 200, 100, 100
6, 0, 0, 150, 150
7, 0, 0, 200, 200
8, 0, 0, 250, 250
9, 2, 300, 100, 500
10, 0, 0, 150, 450
11, 0, 0, 200, 400
12, 0, 0, 250, 350
13, 2, 800, 700, 100
14, 0, 0, 650, 150
15, 0, 0, 600, 200
16, 0, 0, 550, 230
17, 2, 250, 700, 500
18, 0, 0, 650, 450
19, 0, 0, 600, 400
20, 0, 0, 550, 350
21, 0, 0, 300, 100
22, 0, 0, 500, 100
23, 0, 0, 700, 300
24, 0, 0, 500, 550
25, 2, 1000, 50, 300
26, 0, 0, 100, 300
27, 0, 0, 150, 300
28, 0, 0, 200, 300
29, 0, 0, 250, 300
30, 2, 500, 750, 300
31, 0, 0, 700, 250
32, 0, 0, 650, 250
33, 0, 0, 600, 250
34, 0, 0, 550, 275
35, 2, 150, 400, 50
36, 0, 0, 400, 100
37, 0, 0, 400, 150
38, 0, 0, 400, 200
39, 2, 150, 400, 550
40, 0, 0, 400, 500
41, 0, 0, 400, 450
42, 0, 0, 400, 400
43, 0, 0, 50, 50
44, 0, 0, 750, 50
45, 0, 0, 750, 550
46, 0, 0, 50, 550
47, 0, 0, 300, 275
48, 0, 0, 500, 300
49, 0, 0, 200, 500
CONEXIONES:
8, 47, 20
23, 30, 5
48, 23, 15
0, 1, 10
0, 2, 10
0, 3, 10
0, 4, 10
5, 6, 1
6, 7, 100
7, 8, 100
8, 1, 100
5, 43, 20
43, 21, 10
21, 1, 10
9, 10, 5
10, 11, 5
11, 12, 5
12, 4, 5
9, 46, 200
46, 0, 200
13, 14, 2
14, 15, 2
15, 16, 2
16, 2, 50
13, 44, 150
44, 2, 150
17, 18, 5
18, 19, 5
19, 20, 5
20, 3, 5
17, 45, 200
45, 3, 200
25, 26, 50
26, 27, 20
27, 28, 10
28, 29, 5
29, 0, 5
25, 5, 20
30, 31, 10
31, 32, 10
32, 33, 10
33, 34, 10
34, 0, 10
30, 13, 30
35, 36, 15
36, 37, 15
37, 38, 15
38, 0, 15
35, 22, 5
22, 0, 80
39, 40, 10
40, 41, 10
41, 42, 10
42, 0, 10
39, 24, 5
24, 0, 100
47, 0, 200
48, 0, 200
49, 10, 1
49, 41, 20
